category_id,category_name,incidence_rate,category_length_seconds,required_respondents_if_alone
19,Men's Online Health Providers,0.304926764,178.7859142,655.8951965
8,Funeral Services,0.273858921,171.7012903,730.3030302
22,Car Modifications,0.305242203,170.2057847,655.2173912
62,"Massage, beauty and Wellness Services",0.526607539,166.9313886,379.7894737
5,Baby Feeding,0.198450756,166.2311685,1007.806691
7,Online Healthcare,0.226758485,164.7584527,881.9956616
1,Fertility or IVF service,0.095620843,164.50458,2091.594202
77,Breakfast or Health Foods,0.766975309,163.8297504,260.7645875
71,Chocolate confectionery,0.787925697,161.2981995,253.8310413
30,Buy Now Pay Later (Laybuy),0.394511149,160.4536269,506.9565218
78,Kitchenware Retailers,0.684563758,159.6509206,292.1568627
53,Prescription Eyewear,0.579009434,159.1814215,345.4175153
73,Wealth Management,0.803076923,155.9160525,249.0421456
36,"Shares, funds, and term deposits",0.390649762,154.1059978,511.9675456
42,Skincare,0.460633484,153.1419441,434.1846758
38,Natural Health Supplements,0.425092251,149.1359791,470.4861111
47,Nutrition & Fitness Services,0.485294118,148.4034348,412.1212122
44,Female Skincare,0.443462898,147.4399143,450.996016
21,Period Products,0.290499391,146.6167832,688.4696016
16,Fresh Coffee,0.321207962,145.476213,622.6495726
69,Healthy Beverages,0.885174419,144.9466006,225.9441708
50,Peanut or Nut Butter,0.627352572,139.8470608,318.8
40,Free-from Baked Goods,0.441035475,138.5566419,453.4782609
18,Car & Motorhome Rentals,0.311028501,137.6427762,643.0278885
51,Female Fashion,0.556831229,133.9097335,359.1752577
14,Weight-loss,0.231918997,133.053427,862.3700624
37,Beddings,0.417827298,130.2700107,478.6666666
60,Suncare,0.617269545,129.3007615,324.0075614
9,Car Finance,0.23405324,129.1196689,854.5064377
24,Luxury Leather Bags/Accessories,0.275144509,127.7510649,726.8907562
66,Chocolate,0.859133127,127.6305701,232.7927928
43,Dog Food,0.411811652,127.0590291,485.6589148
10,Designer Women's Clothing,0.251552795,124.3671066,795.0617285
33,Recruitment,0.334335086,119.9348738,598.2022472
4,Self Tan (Female Only),0.19109589,115.9280045,1046.594982
45,Skincare (Female Only),0.425631431,112.9554467,469.8901099
46,Outdoor Pursuits Apparel,0.500968992,109.457937,399.2263056
59,Furniture & Homeware,0.610824742,107.7951395,327.4261603
17,Craft Beer,0.312757202,104.6548863,639.4736843
34,Alcohol Free Beer,0.397292994,104.0311961,503.4068137
32,Meal Kit Delivery Service,0.363191043,102.3120173,550.6743738
68,Car Insurance,0.748466258,101.7817872,267.2131147
52,Outdoor Apparel,0.639257294,101.6429433,312.8630706
49,Real Estate Service,0.485908649,101.5845098,411.6
76,Eco Products,0.737226277,101.4526868,271.2871287
64,Health & Beauty Retailers,0.849462366,98.85985894,235.443038
54,Healthy Snacks,0.691394659,95.71456608,289.2703862
41,Camping Equipments,0.431192661,91.69116445,463.8297872
61,Umbrellas,0.534090909,91.02452808,374.4680851
27,Buy Now Pay Later (Gimmie),0.35035461,87.91711388,570.8502025
15,Dark Spirits,0.301933874,87.61555773,662.3966942
29,Pre-mixed alcoholic drinks/RTDs,0.401093892,87.35819356,498.6363637
20,Vocational Training,0.313074205,87.00527692,638.8261852
74,Chocolate bars and blocks,0.799435028,82.00252337,250.1766785
31,Men's Clothing (Male Only),0.327007299,81.0523495,611.6071428
72,Sugar confectionery,0.73088685,80.86094068,273.6401673
75,Fast Food,0.790462428,80.06623962,253.0164534
65,"Mattresses, beds, and pillows",0.712427746,79.85920113,280.7302231
58,Blinds & Window Furnishings,0.571589628,77.44075608,349.9013806
63,Floor Cleaning Appliances,0.61199095,74.04050591,326.8022181
26,Online Betting Services,0.308978328,70.08310031,647.2945891
2,Big and Tall Men's Clothing,0.131231474,69.82629947,1524.024641
67,Coffee,0.791291291,68.70251711,252.7514231
55,Children's Television,0.497881356,66.71959155,401.7021277
23,Baby and Child Products,0.30846395,61.82137819,648.3739838
12,Car Rental,0.269535674,60.89618623,742.0168068
6,Baby products,0.188132635,60.25228966,1063.079777
35,Women's Activewear (Female Only),0.375,57.93264021,533.3333333
13,Accounting Services (Sole Traders),0.24171123,56.48351288,827.4336285
25,"Shares, brokers, and trading apps/website",0.320427236,48.83326439,624.1666667
39,White Spirits,0.411029412,46.19154388,486.5831842
57,Indoor & Outdoor Cleaners,0.675174014,44.91992403,296.2199313
70,"Chips, Crisps, Crackers",0.848787447,42.63703716,235.6302521
56,Mental Performance Supplements,0.571592211,40.60185707,349.8997996
11,Nappies & wipes,0.244664237,39.26794057,817.4468084
48,Female Clothing (Black Pepper),0.493953488,33.49968035,404.8964218
28,Alcohol Free Drinks,0.41253508,32.00854997,484.8072563
